City Name,Temperature,Weather Condition
Accra,24 °C,Passing clouds. Mild.
Addis Ababa,15 °C,Fog. Cool.
Adelaide,17 °C,Cool.
Algiers,24 °C,Passing clouds. Mild.
Almaty,19 °C,Scattered clouds. Mild.
Amman,22 °C,Scattered clouds. Mild.
Amsterdam,17 °C,Passing clouds. Mild.
Anadyr,11 °C,Partly sunny. Cool.
Anchorage,13 °C,Clear. Cool.
Ankara,21 °C,Sunny. Mild.
Antananarivo,17 °C,Partly sunny. Mild.
Asuncion,25 °C,Clear. Warm.
Athens,25 °C,Pleasantly warm.
Atlanta,18 °C,Passing clouds. Mild.
Auckland,13 °C,Partly sunny. Cool.
Bangkok,33 °C,Scattered clouds. Hot.
Barcelona,20 °C,Passing clouds. Mild.
Beijing,32 °C,Passing clouds. Hot.
Belgrade,21 °C,Sunny. Mild.
Bengaluru,24 °C,Broken clouds. Mild.
Berlin,15 °C,Sunny. Cool.
Bogota,9 °C,Passing clouds. Cool.
Boston,18 °C,Passing clouds. Mild.
Brasilia,16 °C,Clear. Cool.
Brisbane,23 °C,Mild.
Brussels,17 °C,Broken clouds. Mild.
Bucharest,25 °C,Passing clouds. Warm.
Budapest,20 °C,Sunny. Mild.
Buenos Aires,12 °C,Low clouds. Cool.
Cairo,26 °C,Passing clouds. Warm.
Calgary,14 °C,Passing clouds. Cool.
Canberra,15 °C,Broken clouds. Refreshingly cool.
Cape Town,9 °C,Sunny. Cool.
Caracas,27 °C,Passing clouds. Warm.
Casablanca,20 °C,Partly sunny. Mild.
Chicago,19 °C,Passing clouds. Mild.
Copenhagen,17 °C,Clear. Mild.
Dallas,27 °C,Passing clouds. Warm.
Dar es Salaam,23 °C,Passing clouds. Mild.
Darwin,30 °C,Sunny. Warm.
Denver,17 °C,Passing clouds. Mild.
Detroit,17 °C,Clear. Cool.
Dhaka,33 °C,Passing clouds. Hot.
Doha,37 °C,Passing clouds. Extremely hot.
Dubai,37 °C,Clear. Extremely hot.
Dublin,14 °C,Rain. Broken clouds. Cool.
Edmonton,11 °C,Clear. Cool.
Frankfurt,17 °C,Broken clouds. Mild.
Guatemala City,18 °C,Overcast. Mild.
Halifax,14 °C,Passing clouds. Cool.
Hanoi,34 °C,Broken clouds. Extremely hot.
Harare,8 °C,Clear. Cool.
Havana,25 °C,Passing clouds. Warm.
Helsinki,16 °C,Sunny. Cool.
Hong Kong,33 °C,Passing clouds. Hot.
Honolulu,27 °C,Passing clouds. Warm.
Houston,26 °C,Clear. Warm.
Indianapolis,22 °C,Passing clouds. Mild.
Islamabad,24 °C,Scattered clouds. Mild.
Istanbul,25 °C,Passing clouds. Warm.
Jakarta,31 °C,Scattered clouds. Hot.
Jerusalem,21 °C,Cool.
Johannesburg,18 °C,Clear. Mild.
Karachi,31 °C,Partly sunny. Warm.
Kathmandu,28 °C,Scattered clouds. Warm.
Kingston,29 °C,Warm.
Kinshasa,23 °C,Scattered clouds. Mild.
Kiritimati,26 °C,Passing clouds. Warm.
Kolkata,29 °C,Broken clouds. Warm.
Kuala Lumpur,32 °C,Passing clouds. Hot.
